idx,name,artists,uri,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,liked
0,Lyra - Broken Minds Remix,Korsakoff and Broken Minds and ,spotify:track:5R234KEG9dj0MhKE5grfZV,0.000352,0.299,0.982,0.293,9,0.118,-2.197,0,0.135,195.14,4,0.0398,False
1,Reborn,Octatonez and ,spotify:track:2wl8ETNtJLjCKCxDoU44lY,0.0168,0.396,0.727,0.0114,8,0.712,-6.834,1,0.0442,74.927,4,0.285,False
2,Rave Culture 2022,Sub Zero Project and ,spotify:track:3xeaR6dAHQHU6rtUPRK9tX,0.00171,0.292,0.947,0.593,1,0.191,-4.449,1,0.0906,150.101,4,0.0859,False
3,Pumping Love,DJ Blyatman and Russian Village Boys and ,spotify:track:06r0Nk4Q7hrX7nz0x9picH,0.00117,0.621,0.897,0.611,8,0.0788,-6.575,1,0.0658,162.031,4,0.93,False
4,Fvck Up,Reflexx and ,spotify:track:41YrY3Anwv6JpQEH5lTX8y,0.0535,0.643,0.916,0.0011,2,0.32,-7.076,1,0.0475,91.025,4,0.433,False
5,Power,Genox and ,spotify:track:70uk5J1yFxKbqjTeiaDw8w,0.00239,0.599,0.988,0.0695,1,0.0794,-1.55,1,0.292,155.022,4,0.364,False
6,Kyoto,Code Black and ,spotify:track:0JUukZ46kepvKAGEFka3m1,0.0131,0.562,0.899,0.589,7,0.203,-4.636,0,0.0397,150.0,4,0.298,False
7,I LOVE HARDBASS,GSPD and XS Project and ,spotify:track:0xYsapCkJE5kOZgRRooWN7,0.273,0.662,0.982,0.0367,11,0.0607,-1.7,0,0.0692,149.995,4,0.855,False
8,Trick Me,Geck-O and D00d and Mesloes and ,spotify:track:5rpLPal82U3JYr6YAAe7rC,0.00244,0.785,0.825,0.67,1,0.327,-4.75,1,0.0682,135.053,4,0.253,False
9,Infinity,Neolux and ,spotify:track:5wsET7UzdeLwvTkAkVytut,0.0053,0.467,0.981,0.898,1,0.222,-3.37,0,0.0485,149.955,4,0.609,False
10,Bass & Acid - Radio Edit,Zatox and ,spotify:track:53HIWlkSYwHIwsTcNVrJid,0.00348,0.653,0.956,0.686,4,0.0834,-8.236,0,0.144,140.006,4,0.0366,False
11,Soul Train,Geck-O and ,spotify:track:6JYSexyeLFu8mJbfmA0zPb,0.000445,0.614,0.99,0.872,11,0.706,-2.732,0,0.347,148.052,4,0.108,False
12,Reverse The Bass,TNT and Technoboy and Tuneboy and ,spotify:track:4ZJVtATf78hjgRe9Ov8csj,0.000242,0.665,0.973,0.0465,1,0.194,-3.807,1,0.435,155.003,4,0.155,False
13,Home,Headhunterz and ,spotify:track:0zolxiS5uiL5towOJrsJi4,0.187,0.552,0.829,5.44e-05,6,0.283,-4.988,0,0.0845,150.039,4,0.367,False
14,Stronger,Vertile and ,spotify:track:1IKMEfiewbgYxP6NjWkzPx,0.000899,0.482,0.977,1.84e-06,7,0.367,-2.13,1,0.432,154.992,4,0.325,False
15,OMG,TNT and Technoboy and Tuneboy and ,spotify:track:6Cqo0qJSJlKinxjuflSr9H,0.013,0.684,0.991,0.00521,1,0.0818,-3.694,1,0.257,154.941,4,0.191,False
16,World of the Dream,Sefa and Dr. Peacock and ,spotify:track:2IUcLN1s1vum52dtdQRBXe,0.15,0.242,0.756,0.282,7,0.0889,-3.162,1,0.0635,92.821,4,0.0393,False
17,Run From Reality,Ran-D and Endymion and LePrince and ,spotify:track:6XAjjeQkt52pLVFaIk6gNi,0.057,0.437,0.931,0.0,3,0.347,-1.232,0,0.0639,77.496,4,0.315,False
18,Harder State Of Mind,D-Block & S-te-Fan and DJ Isaac and ,spotify:track:3QeEf7TMugwZkmn0hPmXio,0.0044,0.515,0.94,1.06e-05,9,0.23,-2.452,0,0.0478,150.051,4,0.284,False
19,Warrior - Extended Version,Mark With a K and Robert Falcon and ,spotify:track:7eDCoOxaczn7Uwoqtogu70,0.00706,0.473,0.912,6.48e-05,5,0.157,-3.235,1,0.0292,155.021,4,0.328,False
20,Silence - Brennan Heart Remix,Delerium and Sarah McLachlan and Brennan Heart and ,spotify:track:0cfxGRaCEFKwz66bURIYz5,0.0196,0.204,0.817,2.9e-05,9,0.0678,-3.706,0,0.0505,149.686,4,0.195,False
21,The Resistance - Radio Edit,Ran-D & Adaro & Alpha2 and ,spotify:track:1ZG8WpqQLlZm7FsDEtpLj6,0.135,0.57,0.986,1.24e-06,9,0.329,-2.78,1,0.168,150.114,4,0.529,False
22,Das Boot,Noisecontrollers and Atmozfears and B-Front and ,spotify:track:0iNIsiJLxEBeqCcKzvBT9A,0.297,0.352,0.844,0.422,11,0.0951,-5.711,0,0.0701,74.851,4,0.0445,False
23,Fight For Something,Brennan Heart and Coone and Max P and ,spotify:track:4v0pQjXKhn23KCOymfoSsh,0.00376,0.504,0.728,0.0,11,0.14,-5.089,0,0.0334,150.011,3,0.116,False
24,Battleborn,Ran-D and Frequencerz and Adaro and ,spotify:track:5qaBcAcCuRaXAfQIVhwkws,0.125,0.329,0.968,0.0,5,0.169,-2.636,0,0.345,155.03,4,0.146,False
25,The Music Is Moving,TNT and Rudeejay and Technoboy and ,spotify:track:1sl6EiHX5lJPfdZZKDnxD9,0.00473,0.501,0.993,0.902,1,0.147,-5.502,1,0.0802,150.05,4,0.451,False
26,Bonjour - Dj Thera Hardertrance Remix,Geck-O and Dj Thera and ,spotify:track:2fnXKweH45BN3pFbQvS0fx,0.0153,0.55,0.987,0.878,9,0.067,-4.485,0,0.13,149.966,4,0.0672,False
