idx,name,artists,uri,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,liked
27,Run & Hide,Hysta and ,spotify:track:2YbF58E534l8ivjG9oNb8N,0.00227,0.43,0.963,0.0698,7,0.735,-3.414,1,0.192,95.244,4,0.13,False
28,Stallion Girl,Detest and ,spotify:track:5Bc7klquWE61OwMY4a5tv2,0.0107,0.579,0.998,0.219,9,0.126,-0.792,1,0.215,100.034,4,0.157,False
29,Yallah Habibi,Broken Minds and MBK and MC Prime and ,spotify:track:3l1zk4sklf1MNQhAk8FAk6,0.0159,0.624,0.974,0.00244,5,0.285,-2.922,0,0.214,105.06,4,0.152,False
30,The Curse,Odium and GridKiller and ,spotify:track:4oQifw7H6Itict1dGa46D2,0.00365,0.549,0.989,0.736,1,0.41,-3.636,1,0.287,179.908,4,0.111,False
31,Widifan,Massive Disorder and Rosell and ,spotify:track:45LLrgQQkRYsNDayYxiwZG,0.0175,0.599,0.988,0.0489,11,0.717,-2.984,1,0.459,100.033,4,0.244,False
32,In for the Kill,Dither and ,spotify:track:4NWgX0HvFgy070AyQOSzch,0.0637,0.573,0.961,0.284,6,0.248,-0.421,0,0.116,180.083,4,0.289,False
33,Adagio For Strings,Odium and ,spotify:track:7bSKyN6tnyc2TAujMpePm7,0.0287,0.192,0.564,0.574,1,0.149,-5.447,1,0.0546,169.9,4,0.0772,False
34,Horrorcore Party - Original Mix,TerrorClown and Lord Of Speed and ,spotify:track:2mtljG9hj97SK2d9gqmGTl,0.00235,0.564,0.981,0.174,6,0.541,-3.919,1,0.0769,100.124,4,0.0866,False
35,Waking Up The Dead,Never Surrender and How To Loot Brazil and ,spotify:track:0ihZHlSx7codRdlmCf3Kco,0.064,0.499,0.994,0.0232,0,0.328,-1.174,1,0.132,182.948,4,0.394,False
36,Reaching For The Sky,Noisekicks and Terrordrang and ,spotify:track:62GErSASVDLNAE9h4QRPRf,0.000529,0.444,0.972,0.0138,7,0.476,-2.746,1,0.218,150.034,4,0.207,False
37,Right Kind Of Wrong,Unproven and ,spotify:track:3jt69VjecivVYw4bwx9giJ,2.76e-05,0.511,0.948,3.29e-06,4,0.792,-1.884,0,0.0476,102.494,4,0.0397,False
38,King Cani,Broken Minds and ,spotify:track:4NfUHeJ02ud3m9z3Clhovi,0.0888,0.616,0.991,0.149,7,0.24,-1.0,1,0.367,199.954,4,0.325,False
39,Electrocore,Floxytek and Neika and ,spotify:track:47pzrxZmJo1XV4V6SuU4wT,0.00135,0.429,0.983,0.858,5,0.129,-1.962,1,0.125,149.964,4,0.478,False
40,House Is Dead,Lil Texas and Rob Gee and ,spotify:track:3dEJbGy6GDUwH0saptxllf,0.0383,0.648,0.993,0.00156,4,0.183,1.611,0,0.158,109.937,4,0.222,False
41,Payback,Delete and Tha Watcher and ,spotify:track:0UDVMvCdkiUUlhexSbwIK7,0.129,0.552,0.929,0.000363,1,0.706,-1.625,1,0.545,159.72,4,0.173,False
42,Wanderer,Broken Minds and D-Frek and ,spotify:track:5eD7bf0ZJOslSMisuTBfAS,0.00124,0.488,0.999,0.346,4,0.783,0.13,0,0.149,100.014,4,0.126,False
43,Life is War,Neko and ,spotify:track:7vT2gfvlL5zEV878c5FzVJ,0.158,0.645,0.994,1.17e-06,7,0.301,-1.193,1,0.23,95.016,4,0.143,False
44,LOCA,Mizz Behave and The Freaky Bastard and ,spotify:track:4rDMTHoDzr427HONy7Z9wO,0.0268,0.631,0.965,0.000179,8,0.312,-2.726,1,0.201,105.019,4,0.183,False
45,Wij Gaan Harder,N-Vitral and Never Surrender and ,spotify:track:6ACGbE2El19XeciwtWsCNJ,0.0978,0.54,0.983,0.0,2,0.26,-1.155,1,0.0934,99.988,4,0.1,False
46,Atlantic,Hysta and Advanced Dealer and ,spotify:track:4HtJlTZH8uc0Bw8U0RXlGH,0.0178,0.577,0.989,0.0073,2,0.302,-1.816,1,0.15,99.965,4,0.364,False
47,Beat My Drum,Dither and ,spotify:track:17RJrhF02qbO7jN0jU5mdQ,0.114,0.618,0.994,2.59e-06,7,0.275,0.217,1,0.479,179.939,4,0.0715,False
48,OUT OF SPACE,Andy the Core and Eggedd and ,spotify:track:6YlsTEWcUwK6z2HcnPu3Gm,0.0046,0.54,0.949,3.69e-05,6,0.215,-2.579,1,0.156,100.07,4,0.459,False
49,Basskick Paradise [Mixed],Cryogenic and ,spotify:track:66aqorn8xZBjZqh9IUBetw,0.00111,0.322,0.923,0.00895,1,0.18,-0.614,1,0.113,117.01,4,0.295,False
50,Coke In My Nose,Broken Minds and ,spotify:track:57RH39syW9DFOZSHKeyjy0,0.0368,0.574,0.974,0.0124,1,0.0698,-2.325,1,0.275,184.939,4,0.182,False
