acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,liked
0.00528,0.406,0.894,0.000263,G#,0.226,-5.567,major,0.0452,180.028,4,0.0614,False
0.00216,0.458,0.954,0.000003,G,0.103,-3.077,major,0.074,99.97,4,0.115,False
0.00939,0.433,0.873,0.276,G,0.323,-6.132,major,0.099,170.009,4,0.34,False
0.00708,0.595,0.984,0.000452,D,0.7,-2.383,minor,0.0851,99.997,4,0.2,False
0.0325,0.477,0.974,0.165,A,0.424,-2.741,minor,0.148,95.027,4,0.0386,False
0.0344,0.465,0.965,0.0011,E,0.0554,-2.256,minor,0.0562,92.47,4,0.0982,False
0.288,0.353,0.838,0.000524,B,0.196,-4.712,minor,0.076,189.933,4,0.149,False
0.168,0.484,0.952,0.749,F,0.0963,-4.028,major,0.0962,170.024,4,0.13,False
0.0216,0.561,1,0.0102,A,0.584,2.277,minor,0.292,95.012,4,0.0343,False
0.136,0.59,0.994,0.000032,E,0.248,2.219,minor,0.379,100.048,4,0.0523,False
0.0127,0.49,0.998,0.0033,C,0.359,0.371,major,0.404,94.987,4,0.0872,False
0.289,0.414,0.999,0.114,F#,0.13,1.464,major,0.537,199.887,4,0.0612,False
0.0258,0.735,0.94,0.0683,C,0.15,-3.876,major,0.148,99.978,4,0.473,False
0.00649,0.646,0.99,0.00147,C#,0.102,1.95,major,0.142,100.011,4,0.0651,False
0.124,0.612,1,0.00993,G,0.279,3.339,major,0.435,100.064,1,0.0343,False
0.288,0.47,0.978,0.0365,G#,0.0762,-0.974,minor,0.434,175.052,4,0.149,False
0.00134,0.916,0.854,0.0704,B,0.0537,-6.674,minor,0.0783,125.018,4,0.734,False
0.0207,0.665,0.973,0.842,C#,0.0381,-2.112,minor,0.26,160.016,3,0.135,False
0.0138,0.564,0.93,0.000003,C#,0.692,-3.475,minor,0.113,150.009,4,0.153,False
0.0151,0.513,0.87,0.000102,A,0.0871,-6.57,major,0.0484,155.027,3,0.489,False
0.0286,0.667,0.879,0.000538,F,0.0882,-6.314,major,0.0394,154.986,4,0.351,False
0.0479,0.697,0.868,0.000648,F,0.116,-5.754,major,0.0396,154.999,4,0.387,False
0.103,0.721,0.777,0,C#,0.0482,-3.303,major,0.0418,155.011,3,0.467,False
0.356,0.618,0.79,0,F,0.0737,-5.977,major,0.119,155.003,3,0.354,False
0.00637,0.559,0.85,0,G,0.154,-7.735,minor,0.131,154.976,4,0.277,False
0.00528,0.489,0.908,0.014,E,0.0637,-4.811,minor,0.0375,167.945,4,0.389,False
0.278,0.404,0.913,0,D,0.0978,-2.215,minor,0.129,94.989,4,0.16,False
0.0357,0.453,0.96,0,F#,0.103,-2.07,minor,0.105,175.003,4,0.0816,False
0.00114,0.559,0.96,0.056,A#,0.4,-2.427,minor,0.086,170.04,4,0.367,False
0.00183,0.582,0.862,0.863,B,0.029,-5.947,minor,0.0625,137.949,4,0.297,False
0.0213,0.663,0.969,0,G,0.187,-2.384,major,0.21,100.043,4,0.308,False
0.226,0.552,0.974,0,G,0.0806,-2.129,major,0.221,179.976,4,0.2,False
0.03,0.65,0.992,0.000011,G#,0.501,-0.882,major,0.0804,95.018,4,0.373,False
0.0563,0.639,0.997,0.000062,D,0.135,-0.15,major,0.107,95.003,4,0.282,False
0.0299,0.604,0.997,0.00005,G,0.359,-1.662,major,0.167,92.505,4,0.242,False
0.000876,0.462,0.995,0.0101,G,0.167,-2.917,major,0.0497,172.033,4,0.107,False
0.223,0.539,0.97,0.0001,F,0.121,-2.588,minor,0.212,184.991,4,0.0772,False
0.129,0.481,0.823,0.034,C,0.0552,-14.838,major,0.0478,170.046,4,0.427,False
0.0512,0.573,0.996,0,F#,0.277,-0.213,major,0.0636,95.021,4,0.125,False
0.0232,0.567,0.988,0.0351,C#,0.149,-2.879,major,0.187,100.025,4,0.0634,False
0.000505,0.481,0.993,0.981,F,0.516,-0.77,major,0.0402,100.008,4,0.0388,False
0.00004,0.552,0.916,0.88,G,0.351,-2.46,major,0.0433,95.025,4,0.0499,False
0.0839,0.572,0.985,0.593,C,0.109,-1.861,major,0.153,100.003,4,0.0577,False
0.032,0.452,0.877,0.294,F#,0.217,-1.412,minor,0.0437,100.014,4,0.0738,False
0.013,0.664,0.96,0.00111,F#,0.113,-0.592,major,0.102,105.021,4,0.275,False
0.00121,0.237,0.949,0.401,C,0.0948,-4.912,major,0.322,200.08,4,0.0396,False
0.0938,0.152,0.933,0,B,0.0969,-2.936,minor,0.158,199.715,4,0.318,False
0.0472,0.447,0.955,0.00323,D#,0.151,-5.15,major,0.0582,95.008,4,0.0762,False
0.0137,0.472,0.929,0.0262,C#,0.166,-4.439,major,0.0412,100.035,1,0.0663,False
0.233,0.425,0.997,0.338,G,0.294,-1.608,major,0.214,92.479,4,0.435,False
0.0131,0.395,0.984,0.13,G#,0.38,-3.404,major,0.0911,200.07,4,0.261,False
0.0143,0.453,0.979,0.54,C#,0.143,-1.929,major,0.0453,99.975,4,0.138,False
0.00917,0.342,0.952,0.000742,C#,0.34,1.441,major,0.405,199.065,4,0.226,False
0.0691,0.657,0.997,0,G#,0.222,-0.591,major,0.199,100.036,4,0.169,False
0.0744,0.629,0.998,0.000066,A,0.7,0.13,major,0.181,114.96,4,0.0873,False
0.185,0.669,0.911,0,F#,0.212,-2.521,minor,0.121,95.002,4,0.462,False
0.0517,0.574,0.981,0,G,0.244,-1.617,major,0.159,100.122,4,0.294,False
0.0499,0.655,0.988,0,E,0.115,-3.003,minor,0.165,94.979,4,0.142,False
0.0191,0.459,0.941,0,A,0.371,-2.053,minor,0.0777,155.023,4,0.399,False
0.0261,0.487,0.939,0,G#,0.0699,-3.182,minor,0.268,155.06,4,0.156,False
0.00282,0.406,0.985,0.0456,G#,0.147,-1.539,minor,0.175,154.993,4,0.235,False
0.00295,0.433,0.925,0.000002,C#,0.0512,-3.411,minor,0.154,155.025,4,0.177,False
0.062,0.277,0.867,0,G,0.162,-4.887,minor,0.136,154.743,4,0.177,False
0.128,0.515,0.998,0.000004,G#,0.946,0.432,minor,0.342,155.03,4,0.172,False
0.000764,0.47,0.974,0.000008,F#,0.4,-2.916,minor,0.116,154.989,4,0.321,False
0.245,0.539,0.933,0.00006,F#,0.158,-4.433,minor,0.103,77.517,4,0.174,False
0.00288,0.553,0.92,0.000141,G,0.113,-2.143,major,0.143,179.863,4,0.174,False
0.0396,0.617,0.975,0.000004,C#,0.27,-2.18,major,0.118,99.88,4,0.137,False
0.0952,0.686,0.926,0.000019,C#,0.143,-1.755,major,0.282,100.024,4,0.377,False
0.0062,0.681,0.951,0.00561,C#,0.131,-1.825,major,0.0419,100.08,4,0.202,False
0.0156,0.576,0.993,0.000113,C#,0.524,-0.92,major,0.0772,99.959,4,0.202,False
0.00373,0.623,0.953,0.000003,G,0.0845,-2.718,major,0.219,94.996,4,0.104,False
0.0147,0.673,0.949,0.000168,C#,0.21,-4.694,minor,0.113,94.986,4,0.0542,False
0.00734,0.549,0.921,0.000074,C,0.184,-1.185,minor,0.0636,149.955,4,0.261,False
0.0951,0.485,0.772,0.000002,E,0.105,-2.966,minor,0.0293,150.111,4,0.203,False
0.0251,0.297,0.935,0.000011,B,0.157,-2.188,minor,0.0754,112.57,3,0.147,False
0.0212,0.495,0.944,0.000001,C,0.273,-1.727,minor,0.0539,149.924,4,0.381,False
0.0103,0.348,0.934,0.000074,A#,0.0691,-4.278,minor,0.238,150.185,4,0.252,False
0.00835,0.499,0.92,0.000013,C,0.149,-2.404,minor,0.0761,149.951,4,0.223,False
0.0721,0.395,0.869,0.000091,A#,0.17,-2.525,minor,0.0398,150.292,4,0.166,False
0.00209,0.436,0.765,0,A,0.058,-5.907,minor,0.0587,150.163,4,0.178,False
0.000493,0.273,0.949,0.000932,E,0.676,-3.437,minor,0.136,149.837,4,0.0911,False
0.159,0.44,0.901,0,A,0.0784,-2.908,minor,0.0435,150.127,4,0.133,False
0.0189,0.478,0.874,0,F#,0.28,-3.35,minor,0.0315,150.044,4,0.39,False
0.00713,0.39,0.965,0.000345,A,0.111,-2.617,minor,0.131,149.916,4,0.121,False
0.0336,0.568,0.939,0.000293,F,0.335,-3.308,minor,0.0778,150.031,4,0.231,False
0.00877,0.477,0.957,0.0496,F#,0.304,-3.468,minor,0.26,150.001,4,0.117,False
0.031,0.398,0.799,0.000007,C#,0.19,-4.424,major,0.0484,154.046,4,0.288,False
0.0945,0.593,0.869,0.00428,G,0.184,-3.454,minor,0.0575,128.003,4,0.173,False
0.00348,0.191,0.877,0.00267,C,0.138,-3.686,minor,0.109,150.055,4,0.271,False
0.0057,0.485,0.853,0.00155,F#,0.0842,-3.192,minor,0.0423,130.054,4,0.304,False
0.0325,0.578,0.978,0,G#,0.34,-1.554,minor,0.414,155.229,4,0.357,False
0.0608,0.515,0.851,0,G#,0.209,-3.353,minor,0.062,155.022,4,0.274,False
0.00463,0.53,0.883,0,E,0.1,-3.262,minor,0.0367,74.982,4,0.0696,False
0.00309,0.477,0.976,0,C#,0.11,-3.38,major,0.231,149.982,4,0.188,False
0.0579,0.323,0.791,0,C#,0.321,-4.943,minor,0.0527,113.959,3,0.0546,False
0.0129,0.472,0.944,0,A#,0.102,-2.551,minor,0.0777,155.05,4,0.184,False
0.0119,0.546,0.961,0.000091,F#,0.37,-3.574,minor,0.0884,155.047,4,0.492,False
0.0942,0.642,0.96,0.00321,F#,0.365,-1.792,minor,0.238,155.007,4,0.462,False
0.00507,0.498,0.936,0.000003,B,0.12,-4.479,minor,0.0766,154.872,4,0.334,False
0.00421,0.61,0.968,0.137,F#,0.33,-4.848,minor,0.156,154.981,4,0.492,False
0.127,0.561,0.892,0,G,0.0656,-5.485,major,0.145,154.992,4,0.0742,False
0.00982,0.583,0.963,0.000679,D,0.101,-3.507,major,0.0723,160.016,4,0.222,False
0.0244,0.447,0.923,0.00013,G,0.321,-4.112,minor,0.154,155.056,4,0.0654,False
0.024,0.409,0.991,0.000746,G#,0.549,-1.672,minor,0.571,189.92,4,0.0518,False
0.0539,0.366,0.928,0.134,C#,0.0987,-1.187,major,0.0432,160.044,4,0.0395,False
0.0243,0.592,0.98,0.000006,B,0.66,-1.957,minor,0.169,100.02,4,0.137,False
0.0611,0.641,0.946,0.0268,C#,0.0913,-2.756,major,0.0641,105.056,3,0.0351,False
0.0134,0.585,0.992,0.000003,F#,0.201,-0.61,minor,0.14,104.959,4,0.0716,False
0.06,0.568,0.995,0.000022,G,0.403,-0.113,major,0.104,95.024,3,0.159,False
0.00748,0.662,0.942,0.000034,G,0.561,-1.38,major,0.124,93.995,4,0.542,False
0.00089,0.539,0.846,0.837,A,0.616,-4.831,major,0.0483,150.008,4,0.239,False
0.00886,0.665,0.825,0.58,A,0.103,-8.238,minor,0.131,142.016,4,0.127,False
0.0171,0.268,0.867,0,A#,0.108,-4.439,minor,0.0922,149.953,4,0.301,False
0.209,0.499,0.761,0.000027,A#,0.0998,-6.397,minor,0.034,149.968,4,0.168,False
0.129,0.561,0.759,0,D,0.0804,-5.141,major,0.0425,150.12,4,0.397,False
0.0934,0.478,0.848,0,C#,0.0925,-3.85,minor,0.0431,149.936,4,0.48,False
0.149,0.584,0.991,0.000263,G#,0.398,-5.074,minor,0.105,154.992,4,0.753,False
0.0431,0.478,0.878,0.000019,C#,0.0719,-3.431,minor,0.0403,149.671,4,0.289,False
0.137,0.555,0.91,0,D#,0.335,-3.653,minor,0.0628,154.932,4,0.55,False
0.0133,0.54,0.966,0.00215,G,0.846,-3.075,major,0.0643,150.007,1,0.446,False
0.0053,0.467,0.981,0.898,C#,0.222,-3.37,minor,0.0484,149.945,4,0.609,False
0.0463,0.387,0.906,0.000051,B,0.398,-5.353,minor,0.0781,143.039,4,0.334,False
0.0019,0.479,0.998,0.192,C#,0.301,-1.378,major,0.252,99.98,4,0.0584,False
0.0431,0.535,0.929,0.602,D,0.1,-4.026,major,0.0582,112.422,1,0.144,False
0.21,0.402,0.903,0.0539,F,0.238,-3.535,minor,0.0992,79.704,4,0.0683,False
0.21,0.593,0.917,0.271,G#,0.179,-5.567,major,0.0427,149.984,4,0.0352,False
0.0322,0.435,0.871,0.0234,C,0.197,-4.953,major,0.109,159.743,4,0.0372,False
0.0107,0.6,0.918,0.00118,F,0.104,-2.909,minor,0.062,149.999,4,0.267,False
0.00309,0.528,0.966,0.655,E,0.452,-4.527,minor,0.08,150.077,4,0.297,False
0.0509,0.368,0.842,0.000086,A,0.483,-3.998,minor,0.0707,75.616,4,0.0874,False
0.00105,0.534,0.908,0.00165,F,0.189,-5.876,minor,0.0502,150.076,4,0.265,False
0.00158,0.496,0.753,0.00327,G#,0.407,-6.253,minor,0.0663,150.351,4,0.141,False
